Input,sentiment,probability,positive_topics,negative_topics
 색상 흔하지 않으면 거 이뻐요 착색으로 유명해서 궁금했는데 처음 바른 색대로 착색되는 건 아닌 거 같아요 그래도 예쁩니다,positive,0.8,"색상,예쁨",착색
 발색도 인터넷 공식 사진 속 색과 똑같고 다만 발색 후 착색 된 색이 핫핑크라 좀.. 아쉽네 오ㅜㅜ제 얼굴엔 핫핑크는 안 어울려서 ㅜㅜ그래도 넘나 좋은 품질은 확실합니다,neutral,0.7,"발색,품질","핫핑크,안 어울림"
생각보다 매트해서 깜짝 놀랐어요 그리고 화면이랑 색상 좀 다르네 오ㅠ ㅜ할인해서싸게구매하긴했는데좀..ㅠㅠ,neutral,0.5,"할인,구매","매트,색상"
 배송 3일이나 걸렸지만 저렴하게 구매해서 기분이 좋네요,positive,0.85,"저렴,구매,기분",배송
이 제품은 실망스러워요. 사용한 지 얼마 안 돼서 고장났어요.,negative,0.15,,"제품,고장"
"책은 처음에는 지루했지만, 후반부로 갈수록 흥미로워졌어요.",neutral,0.55,"책,후반부","처음,지루함"
감사합니다 착한 가격에 빠른 배송 조아요 잘 사용할게요 색감도 좋아요,positive,0.95,"가격,배송,사용,색감",
이번 전시회는 정말 멋졌어요. 작품들이 매우 인상적이었어요.,positive,0.93,"전시회,작품들",
이번 경험은 그냥 그랬어요. 특별히 기억에 남을 만한 점이 없었어요.,neutral,0.5,,경험
식당의 분위기는 좋았지만 음식이 별로였어요.,neutral,0.4,"식당,분위기",음식
이 앱의 사용 경험이 최악입니다. 계속 오류가 발생해요.,negative,0.05,,"앱,오류"
도서관의 새 규칙이 너무 엄격해요.,negative,0.2,,"도서관,새,규칙"
 색상도 예쁘고 발색도 좋고 만족합니다 각질 조금 부각되는 게 흠이지만 립밤 덧바르면 괜찮아요,positive,0.85,"색상,발색,만족",각질부각
이번 호텔 숙박은 매우 만족스러웠습니다. 방도 깨끗하고 서비스도 좋았어요.,positive,0.97,"호텔,방,서비스",
책은 내용이 너무 복잡해요. 이해하기 힘들었어요.,negative,0.3,,"책,내용,복잡함"
 색상 진짜 이뻐요 잘 지워지지도 않아요 향도 좋고 가볍게 잘 발립니다. 강추,positive,0.95,"색상,향,발림",
이번에 새로 개봉한 영화는 기대했던 것보다 훨씬 더 좋았습니다. 특수 효과와 배우들의 연기가 정말 인상적이었어요.,positive,0.9,"영화,특수,효과,배우들",
생각 보나 단독으로 바르면 색상 안 예쁘네 오 대신 비 쥬얼 갑이랑 같이 바르니까 더 나은 것 같아요,neutral,0.6,색상,안 예쁨
이번에 산 제품이 너무 빨리 망가졌어요. 서비스센터도 불친절했어요.,negative,0.15,,"제품,서비스센터"
가게의 고객 서비스는 형편없어요. 직원들이 무례하고 도움이 되지 않았어요.,negative,0.05,,"고객,서비스,직원"
 발색 되게 잘 돼요 밀착 력도 좋고요 근데 발색 사진보다 색상 되게 많이 돌아요 검 붉은색인 줄 알고 샀는데... 가격대비는 진짜 좋아요,positive,0.8,"발색,밀착,가격",색상
품질 쏘쏘 배송은 빨랐어요,neutral,0.5,배송,품질
1번 발색 대박이에요 첨엔 바르기 힘들었지만 계속 쓰다 보니 익숙해짐,positive,0.85,"발색,익숙함",힘듦
자주 바를 수 있는 색상 아니에요,negative,0.3,,색상
새로 산 제품이 너무 빨리 망가졌어요. 서비스센터가 불친절해요.,negative,0.15,,"제품,서비스센터"
"공연은 무대 연출이 훌륭했지만, 사운드가 별로였어요.",neutral,0.5,"공연,무대,연출",사운드
봄 신상 색상 너무 저렴하게 나와서 모두 구매했는데 다 이쁨,positive,0.95,"색상,저렴,구매,이쁨",
이 영화는 기대 이하였어요. 줄거리가 너무 뻔했어요.,negative,0.2,,"영화,줄거리"
카페의 커피는 정말 맛있어요. 디저트도 훌륭합니다.,positive,0.92,"카페,커피,디저트",
세 가지 색상 샀는데 제형 자체가 여름쿨톤한테는 좀 잘 안 받는 느낌.. 그래도 입술색 완전히 죽이고 바르면 이쁩니다만 손은 잘 안 갈 것 같아요 ㅠㅠ,neutral,0.6,색상,"여름쿨톤,제형"
4가지 색상 샀는데 다 잘 사용할 거 같아요,positive,0.9,"색상,사용",
제품의 품질이 정말 좋습니다. 가격 대비 성능이 뛰어나요.,positive,0.95,"제품,품질,성능",
이 제품은 가격 대비 성능이 좋아서 만족스럽습니다.,positive,0.88,"제품,가격,대비,성능",
도서관의 새 규칙이 불편해요. 책을 빌리기 어렵게 만들었어요.,negative,0.25,,"도서관,새,규칙"
경험이 그냥 그랬어요. 특별히 좋지도 나쁘지도 않았어요.,neutral,0.5,,경험
 페리페라 잉크 시리즈는 발색이 진짜 쨍하고 지속력 오래 가요. 제가 사용하던걸 보고 회사 언니가 이쁘다고 하셔서 하나 주문해드린 거예요.,positive,0.95,"발색,지속력,사용,이쁨",
 배송도 빨랐고 뽁뽁이로 잘 포장되어 있어서 심지어 품질 상자도 정말 멀쩡할 정도였어요 색상도 예쁘고요 좀 건조하긴 한데 원래 제형 그런 거라서 이해 가능한 부분이에요,positive,0.9,"배송,포장,품질,색상",건조
이 제품은 비싼데도 불구하고 품질이 너무 안 좋아요.,negative,0.1,,"제품,품질"
그라 해서 바르면 지속력 좀 떨어지는데 색은 마음에 들어요,neutral,0.6,색상,지속력
 지속력 좋고 색 이뻐요,positive,0.9,"지속력,색",
봄에 딱인 것 같아요 색상 분홍분홍 하고 아주 마음에 들어요 감사합니다 ㅎㅎㅎ 다른 거 또 사려고요,positive,0.95,"색상,마음,감사",
새로 산 노트북의 성능이 기대 이하입니다. 발열도 심하고 배터리도 빨리 닳아요.,negative,0.2,,"노트북,성능,발열,배터리"
이번 휴가는 너무 좋았어요. 가족들과 함께 즐거운 시간을 보냈어요.,positive,0.9,"휴가,가족",
 핑크핑크 한 게 딱 봄에 어울릴 색상에요 생각보다 많이 야리야리한 색상가 아니라 발색 잘 돼서 좋아요,positive,0.9,"색상,발색",
검은 피부엔 맞지 않네요... 뽀오얀 피부엔 괜찮아요... 색상 쪼금 어두워요,negative,0.2,,"피부,색상,어두움"
3 색상 샀는데 모두 마음에 들어요 싸게 샀고 배송 보통입니다 잘 사용할게요,positive,0.85,"색상,가격,배송",
영화는 처음부터 끝까지 긴장감이 넘쳤습니다. 하지만 일부 장면이 너무 잔인했어요.,neutral,0.6,"영화,긴장감",잔인함
이 영화는 정말 환상적이었어요. 연기도 훌륭하고 줄거리도 매력적이었어요.,positive,0.95,"영화,연기,줄거리",
두 개 샀는데 둘 다 색상 예쁘네 오,positive,0.9,"색상,예쁨",
40대 흰 편 잘못 코디하면 정말 촌스러운 색상 되겠어요 바르고 한번 닦아내니 낮 네오 끝이 뾰족했으면 좋겠어요 솔로 다시 정리했네 오 촉촉하고 발림성은 좋아요,neutral,0.6,"촉촉함,발림성",코디
여행 패키지는 가격 대비 아주 만족스러웠습니다. 숙소도 깨끗하고 좋았어요.,positive,0.88,"여행,패키지,가격,대비,숙소",
이 앱은 사용하기 어려워요. 인터페이스가 직관적이지 않습니다.,negative,0.1,,"앱,사용"
이 가게에서 산 물건이 금방 망가졌어요.,negative,0.1,,"가게,물건"
 색상도 이쁘고 발색이나 지속력 역시나 좋습니다,positive,0.95,"색상,발색,지속력",
이번 휴가는 너무 즐거웠어요. 날씨도 좋고 경치도 아름다웠어요.,positive,0.92,"휴가,날씨,경치",
이 제품은 가격 대비 품질이 별로에요.,negative,0.1,,"제품,품질"
스마트워치는 디자인은 좋은데 기능이 부족해요.,neutral,0.4,"스마트워치,디자인",기능
이 게임은 중독성이 강해요. 재미있습니다.,positive,0.92,"게임,중독성",
휴가 동안 방문한 해변은 정말 아름다웠어요. 날씨도 좋고 물도 맑았어요. 꼭 다시 가고 싶어요.,positive,0.93,"휴가,해변,날씨,물",
 페리페라 입소문 듣고 사용해본 적은 없는데 가격 저렴하게 샀어요 처음 사용해보는 거라 기대돼요,positive,0.75,"가격,저렴,입소문",
"서비스는 응답 속도가 빠르고, 고객 지원도 훌륭합니다.",positive,0.93,"서비스,응답,속도,고객,지원",
이번 전시회는 정말 흥미로웠어요. 다양한 작품들을 볼 수 있었어요.,positive,0.87,"전시회,작품",
색 예쁘고 배송 빨리 왔어요,positive,0.9,"색상,배송",
정말 매트하지는 않고 적당히 매트해요 발림성 좋고 색깔도 마음에 들어요 제 입술에서 1호는 핑크빛이 더 도는 것 같아요 착색 없는 것 같아요,positive,0.85,"매트,발림성,색깔",착색
미술 전시회는 정말 멋졌습니다. 다양한 작품들을 볼 수 있어서 좋았어요.,positive,0.88,"미술,전시회,작품들",
 드라마는 매우 흥미로웠습니다. 배우들의 연기가 뛰어났어요.,positive,0.9,"드라마,배우,연기",
커피숍의 분위기는 좋지만 커피 맛이 별로에요.,neutral,0.4,"커피숍,분위기","커피,맛"
이 레스토랑은 가격이 비싼데 음식 맛이 별로에요.,negative,0.15,,"레스토랑,가격,음식,맛"
 촉촉함은 유지되지만 지속력 그리 길지 않은 것 같아서 조금 아쉽네 오.,neutral,0.5,촉촉함,지속력
식당의 서비스는 좋았지만 음식은 그다지 맛있지 않았어요.,neutral,0.4,서비스,음식
카페의 디저트는 맛있지만 커피는 별로에요.,neutral,0.5,"카페,디저트",커피
"이 영화는 중간 부분이 지루했지만, 전체적으로는 괜찮았어요.",neutral,0.6,영화,"중간,부분,지루함"
"식당의 음식은 맛있지만, 대기 시간이 너무 길어요.",neutral,0.5,"식당,음식","대기,시간"
최근 업데이트된 소프트웨어는 사용하기가 훨씬 편리해졌습니다. 새로운 기능들이 작업 효율을 크게 높여주네요.,positive,0.85,"업데이트,새로운,기능",
 저렴한 가격 립펜슬가 지 얻었네 오.,positive,0.85,"가격,립펜슬",
새 스마트폰 카메라는 훌륭하지만 배터리 수명은 실망스러워요.,neutral,0.5,"스마트폰,카메라","배터리,수명"
새로운 직장은 매우 만족스러워요. 동료들도 친절하고 업무 환경도 좋습니다.,positive,0.9,"직장,동료,업무,환경",
이 영화는 매우 감동적이었어요. 줄거리와 연기가 훌륭합니다.,positive,0.95,"영화,줄거리,연기",
이 가게에서 산 제품이 며칠 만에 고장났습니다. 교환 과정에서도 직원들이 너무 불친절했어요.,negative,0.1,,"제품,고장,직원"
새로 나온 스마트폰의 카메라 성능이 뛰어나요. 하지만 배터리가 빨리 닳아요.,neutral,0.5,"스마트폰,카메라,성능",배터리
새로 출시된 스마트폰의 디자인이 마음에 들어요. 배터리 수명도 길어서 좋습니다.,positive,0.9,"스마트폰,디자인,배터리,수명",
"제품은 포장 상태가 좋지 않았고, 설명서도 부실했어요.",negative,0.2,,"제품,포장,설명서"
영화는 지루했어요. 중간에 졸았어요.,negative,0.1,,"영화,지루함"
엄청 바르면 하얗고요.. 두껍게 발리는 편이에요.. 처음엔 환하게 보였는데 나중에 되면 뭉치고 각질부각 됩니다. 저한테 안 맞는 거 같아요,negative,0.2,,"각질부각,뭉침,하얗게"
이 소프트웨어 업데이트의 새로운 기능이 마음에 들어요. 작업이 훨씬 쉬워졌어요.,positive,0.9,"소프트웨어,업데이트,새로운,기능",
호텔의 위치는 좋지만 서비스가 별로였습니다.,neutral,0.4,"호텔,위치",서비스
 색상이 딱 이쁨 5개째 구입하네요 번들 꺼리는 게 싫어 주문했는데... 매트 입술이 좀 트긴 한 네오 ㅋ그래로 색상이 예쁘니까 패스,neutral,0.6,"색상,이쁨","번들,매트,트림"
영화가 지루했어요. 중간에 잠들었어요.,negative,0.1,,"영화,지루함"
스마트폰의 해상도가 정말 좋아요. 그런데 배터리가 너무 빨리 닳아요.,neutral,0.5,해상도,배터리
"이 레스토랑의 분위기는 좋았지만, 음식은 그저 그랬어요.",neutral,0.5,"레스토랑,분위기",음식
카페의 분위기는 정말 좋아요. 하지만 직원들의 서비스가 부족해요.,neutral,0.5,"카페,분위기","직원,서비스"
 페리페라 잉크 더 벨벳 5호 와 6호 여주인공 구매했습니다 5호는 원래 쓰던 거라 재구매고 6호 샀는데 비슷하면서도 더 어두워서 맘에 드네요 ㅋ 배송 빠르고 잘 받았습니다,positive,0.9,"색상,배송,구매",
싸게 샀는데 ...색은 그렇다 치고 잘 번져요 엄청 건조하고 싼맛 그냥 색 느낌만 만족합니다,negative,0.1,싸게,"번짐,건조,싼맛,색"
이 식당의 서비스는 훌륭했지만 음식은 별로였습니다.,neutral,0.4,"식당,서비스",음식
도서관의 새 규칙이 너무 엄격해요. 불편해요.,negative,0.2,,"도서관,새,규칙"
식당의 분위기는 좋았지만 음식이 별로였어요. 디저트는 괜찮았어요.,neutral,0.4,"식당,분위기,디저트",음식
소프트웨어 업데이트가 훨씬 좋아졌어요. 새로운 기능들이 편리해요.,positive,0.9,"업데이트,새로운,기능들",
스마트폰의 화면 해상도가 정말 좋아요. 그런데 배터리가 너무 빨리 닳아요.,neutral,0.5,"화면,해상도",배터리
다른 색상 구분이 잘 안됐었는데 색상이 강하 네오. 받아보고 생각이랑은 달라 실망했는데 막상 써보니 색상 이쁘네 오,neutral,0.6,색상,"구분,실망"
 청순포텐이 아니고.. 아파 보여요.. 원래 입술이 붉은 편인데 이거 바르면 머 다른지도 모르게 아무 발색 없어요 ㅋㅋㅋ ㅋ그냥.. 그렇네 오..,negative,0.2,,"발색,아파 보임"
레스토랑의 음식은 정말 별로였어요. 직원 서비스도 나빴습니다.,negative,0.1,,"레스토랑,음식,직원,서비스"
 지속력 너무 좋아요 특히 비 쥬얼 갑 추천이에요 웜톤에겐 너무 잘 어울리는 색이고요 여주인공이랑 비교했을 때 더 얼굴 환해 보여요 왠지 지속력 더 좋은 것 같고요,positive,0.9,"지속력,추천,색상",
발림 아주 좋고 색깔도이쁙니다,positive,0.9,"발림,색깔",
영화의 결말이 예상 외로 놀라웠어요. 배우들의 연기력도 훌륭했습니다.,positive,0.9,"영화,결말,배우,연기",
생각보다 각질부각 있어요 매트한 립이라 어쩔 수 없는 부분이겠지만 요즘은 워낙 좋은 립품질이 많아서 색감은 예뻐요,neutral,0.5,"색감,품질","각질부각,매트"
6호는 발색 샷이랑 차이가 너무 많이 나요. 8호 발색 샷 같은 느낌.,neutral,0.5,,"발색,차이"
새로운 도서관 규칙이 너무 까다로워요. 책을 빌릴 때마다 절차가 복잡해져서 불편해요.,neutral,0.35,,"도서관,규칙,복잡"
색깔 이뻐요 배송도 빠르고 발색 잘 되고요,positive,0.9,"색깔,배송,발색",
드라마는 흥미롭지만 결말이 아쉬워요.,neutral,0.5,"드라마,흥미로움",결말
이번 여행은 정말 멋졌어요. 특히 해변이 아름다웠어요.,positive,0.95,"여행,해변",
 아련폭발과 비교가 안되는 색이지만. 아련폭발보다 더 흰끼가 돌고 착색 연핑크에요. 그래서 한번 바르고 밥 먹음 없어져요.ㅠ 봄 핑크색이에요.,neutral,0.6,색상,"착색,흰끼,지속력"
 틴트 좋아요. 배송 조금 늦었지만,positive,0.8,틴트,배송
레스토랑의 서비스는 나쁘지 않았지만 음식의 맛은 기대에 못 미쳤어요. 특히 메인 요리가 너무 짰어요.,negative,0.2,서비스,"음식,메인,요리"
 틴트는 보통 메마른데 요건 촉촉한 느낌에 발색도 예쁘고 지속력도 짱 딸이랑 쓰려고 2개 신청해서 무료 배송 까지 득템,positive,0.9,"촉촉,발색,지속력,배송",
이 제품은 매우 실망스러워요. 고장이 잦아요.,negative,0.1,,"제품,고장"
레스토랑은 가격이 너무 비싸고 음식의 질도 낮아요.,negative,0.15,,"레스토랑,가격,음식,질"
이번 패키지 여행은 가격 대비 만족도가 높았습니다.,positive,0.87,"패키지,여행,가격,만족도",
이번 여행은 정말 환상적이었어요. 풍경이 아름답고 날씨도 좋았어요.,positive,0.95,"여행,풍경,날씨",
 추천 합니다 배송도 빠르고 품질 안전하게 와서 너무 좋았어요. 립 스틱아이섀도 이쁘고 후회 안 합니다,positive,0.95,"배송,품질,예쁨",
2호는 정말 실물이 더 예쁜 것 같아요 지속력도 정말 좋아서 뭘 먹어도 끄떡없네 오 근데 몇 분 지나면 핑크로 변하고 착색 핑크인 게 아쉽네 오ㅜㅜ,positive,0.75,"실물,지속력","착색,핑크"
"새로 개봉한 영화는 그저 그랬어요. 배우들의 연기는 좋았지만, 스토리가 아쉬웠습니다.",neutral,0.5,"배우,연기",스토리
신상이라 그런지 배송 약간 늦었지만 이해해요 ㅎㅎ,neutral,0.6,이해,배송
 페리페라 잉크 더 벨벳 정말 좋아요ㅋㅋ 색상 예쁘고 지속력도 좋습니다,positive,0.95,"색상,지속력",
여행이 정말 좋았어요. 특히 해변이 아름다웠어요.,positive,0.95,"여행,해변",
이 웹사이트는 디자인이 깔끔하지만 속도가 느려요.,neutral,0.4,"웹사이트,디자인",속도
매우 만족합니다 배송 매우 빠르고 색도 발색 잘되고 너무너무너무너무 예뻐요 대신 단점이 있다면 다른 색과 섞어 바를 때 뭉치기는 해요,positive,0.85,"만족,배송,색상,예쁨",뭉침
무쌍도 아니고 나름 겉 상인데 컬링은 쏘쏘하지만 눈 밑 번짐이 있었음. 그래서 아쉬움. 용량 작아서 휴대하기 좋고 가격도 그만큼 저렴해서 괜찮은데.. 번짐이.. 번짐이..,negative,0.2,"가격,휴대","번짐,아쉬움"
새로 나온 이 게임은 그래픽이 훌륭하지만 플레이 방식이 너무 단조로워요.,neutral,0.5,"게임,그래픽","플레이,방식"
색은 맘에 드는데 양 조절 필요할 듯,neutral,0.6,색상,양 조절
도서관의 새로운 규칙은 이해하기 어려워요. 너무 복잡해요.,neutral,0.45,,"새로운,규칙,복잡"
